id,学科,知识点,置信度,问题字段,字段原文,问题描述,修正内容,验收结果
WL_G1_B5_APLL_004,物理,磁感应强度的定义,65,typical_errors,误认为磁感应强度随电流增大而增大；把匀强磁场中某点B当成随位置改变的量；定义式与安培力方向混用到矢量相互替代；求B时套用非垂直情形的安培力公式,"typical_errors 表述混乱（""定义式与安培力方向混用到矢量相互替代""）",,
WL_G1_B2_YZYD_009,物理,圆锥摆水平圆周,66,example,[仿题]圆锥摆摆线与竖直夹角为45度，绳长L，求周期。解析：向心力水平，mω方乘r等于mg，r等于Lsin45，解得周期。,example 解析知识性错误：'mω²r=mg'漏掉tanθ，仅在45°时数值巧合成立,,
YY_WY_G1_B1_U6_009,英语,表示保护生态的固定短语,68,typical_errors,保护环境误把 protect the environment 的 the 省略掉；减少污染表达时误用 reduce 与 pollution 搭配错误；倡议中把动词短语句式误用成无主语表达,typical_errors 第2条“减少污染表达时误用 reduce 与 pollution 搭配错误”自相矛盾：reduce pollution 本来就是正确搭配,,
YY_WY_G1_B3_U6_006,英语,现在分词作状语时态形式,68,example,"[仿题]___ home, he slept.
解析：先到家后睡觉填Arriving。","example “___ home, he slept”解析填 Arriving，但解析又说“先到家后睡觉”，按本条 having done 规则应填 Having arrived，自相矛盾",,
YY_WY_G1_B6_U5_008,英语,师法自然主题词汇,68,typical_errors,把 imitate 与 inspire 混淆含义相反；biomimicry 的拼写记忆错误；把 wisdom 与 wise 词性混用；learn from 后漏掉宾语造成残缺,typical_errors 第1条“把 imitate 与 inspire 混淆含义相反”不准确：两者含义不同但并非“相反”，表述有误,,
YY_RJ_G1_B1_U1_006,英语,陈述句中的频率副词,70,乱码,把频率副词放在句首大过课时位置，混淆语序；在 be 动词前放频率副词，写成 He often is happy；行为动词已有时态变化仍加频率副词位置出错,typical_errors 有乱码/读不懂：'把频率副词放在句首大过课时位置'语义不通,,
YY_RJ_G1_B2_U2_012,英语,保护成效描述词汇,70,乱码,recover 与 survive 厚度混淆；flourish 拼写漏字母；描述成效时选错了恢复程度的词,typical_errors 有错字/读不懂：'recover 与 survive 厚度混淆'应为'程度',,
YY_RJ_G1_B2_U3_007,英语,网络基础操作词汇,70,typical_errors,download 与 load 单复数混淆；access 后误加介词，写成 access to 主动语态；browse 拼写漏字母,typical_errors 有空泛/误导：'download 与 load 单复数混淆'指向不清；'access 后误加介词，写成 access to 主动语态'与 access to 的正确搭配冲突,,
YY_RJ_G1_B2_U5_012,英语,被音乐打动表达,70,乱码,"[仿题]填空：我被这首歌 ___（move）shallow。
解析：被打动用 was moved by",example 题干有乱码：'我被这首歌 ___（move）shallow'中 shallow 表意不通,,
YY_RJ_G1_B3_U1_013,英语,非谓语在主题语境的应用,70,乱码,整段只用一个形式忽视主动被动区别；把握不清被修饰对象导致宾语位置放错；在一个句子里生硬堆多个非谓语致语意混乱；distinguish 非谓语与谓语时丢时态,typical_errors 有乱码：'distinguish 非谓语与谓语时丢时态'中英文混杂、表意不通,,
YY_RJ_G1_B5_U3_004,英语,该不该用 that 作连接词,70,乱码,定语从句却误用 that 充当成分不够时；同位语从句把 that 误写成 which；type 混合宾语从句把可省的 that 乱省,typical_errors 有乱码：'type 混合宾语从句把可省的 that 乱省'表意不通,,
YY_RJ_G1_B6_U1_006,英语,艺术家与作品词汇,70,乱码,"[仿题]The ______ (painting/painter) hangs in the gallery.
解析：填 painting，画作，构图缘物品陈列在画廊。",example 解析有乱码：'构图缘物品陈列在画廊'表意不通,,
YY_RJ_G1_B7_U2_001,英语,非谓语作定语综合运用,70,example,"[仿题]We visited a ______ (famous/famously) tower.
解析：填 famous，著名的，形容词修饰名词。",example 与知识点不匹配：题面'We visited a famous tower'考形容词 famous，而非 doing/done/to do 作定语,,
YY_WY_G1_B1_U1_012,英语,表示频度的副词排序,70,乱码,把 usually 与 often 的频率高低误判颠倒；频度副词误放到句尾造成语序不当；倍语 always 与 never 的否定含义区分不清,typical_errors 出现“倍语 always 与 never 的否定含义区分不清”，“倍语”为生造/错字，学生读不懂,,
SX_B_G1_B2_ZSDM_006,数学,对数的换底公式,70,example,"[仿题]计算log_2 27·log_3 4。
解析：换成同底相约为log3^3·log2^2，结果6。",example 解析中间步骤符号乱（log3^3·log2^2），虽最终结果6正确但过程不规范,,
WL_G1_B1_XHZL_001,物理,力的概念与相互性,70,example,[仿题]人用力蹬地起跳，以下说法正确的是哪项？解析：人对地有作用力，地同时对人施力，大气不存在施力物体，故起跳力由地面反作用提供。解析选正确项即可。,example 解析含无意义表述'大气不存在施力物体'，题干'以下说法正确的是哪项'无选项、不完整,,
WL_G1_B3_DNNL_004,物理,电功与电热的区别,70,example,[仿题]电动机U=48V、I=2A、R=4Ω，分别求电功和电热。解析：电功UI全转化，电热按I2R单独算。解析完毕。,example 解析表述误导：'电功UI全转化'易被误解为电功全部转化为内能,,
YY_RJ_G1_B1_U1_005,英语,青春校园话题词汇,72,typical_errors,把活动类与感受类词混用，逻辑上说不通；拼写漏字母，把 volunteer 写成 volnteer；分不清 challenge 与 challenge 相关的动词搭配；lonely 与 alone 混用，忽视其情感差异,typical_errors 有车轱辘话：'分不清 challenge 与 challenge 相关的动词搭配'自指、无具体指向；'把活动类与感受类词混用'也空泛,,
YY_RJ_G1_B1_U2_007,英语,景点观光活动词汇,72,typical_errors,把固定搭配 go sightseeing 误写成 do sightseeing；把 scenery 误当作复数 scenery 一起使用；景点动词搭配不当，写成 visit the lake 而不是 go boating,typical_errors 有车轱辘话：'把 scenery 误当作复数 scenery'自指、指向不清,,
YY_RJ_G1_B1_U3_007,英语,健康生活方式词汇,72,typical_errors,把 fit 误当成体重轻，忽略它强调体形健康；energetic 与 energetic 拼写混淆漏字母；healthy 与 health 词性混用，形容词当名词写,typical_errors 有车轱辘话：'energetic 与 energetic 拼写混淆漏字母'自指无效,,
YY_RJ_G1_B1_U3_011,英语,压力放松调节词汇,72,typical_errors,relax 后误接宾语，写成 relax my stress；把 relieve 误当成名词使用；混淆 stress 与 stress 派生词在句中的词性,typical_errors 有车轱辘话：'混淆 stress 与 stress 派生词'自指、指向不清,,
YY_RJ_G1_B1_U4_009,英语,洪水泥沙台风等灾害,72,typical_errors,把 typhoon 台风误写成太简单或漏字母；混用 flood 洪水与 drought 干旱两个相反词；描述灾害爆发误用其他动词代替 break out,typical_errors 有空泛表述：'把 typhoon 台风误写成太简单或漏字母'指向不清,,
YY_RJ_G1_B1_U4_011,英语,幸存与救援词汇,72,typical_errors,survive 误当名词，把 survivor 词性用错；rescue 作名词时误写成 rescue 前加 to；把 search for 误写成 search for 之外的搭配,typical_errors 有车轱辘话：'rescue 作名词时误写成 rescue 前加 to'自指无效,,
YY_RJ_G1_B1_U5_008,英语,figure out 表示弄清,72,example,"[仿题]改错：I figured it out quickly。
解析：代词应放中间已正确",example 解析与题干不匹配：'改错：I figured it out quickly'本身无错却标为改错，解析说'已正确'，题干自相矛盾,,
YY_RJ_G1_B2_U1_009,英语,参与保护活动表达,72,乱码,"[仿题]填空：取救了，很多志愿者 ___（take part）in 修复。
解析：参加用 took part",example 题干有乱码：'取救了，很多志愿者 ___（take part）in 修复'表意不通,,
YY_RJ_G1_B2_U2_008,英语,栖息地与保护区词汇,72,typical_errors,habitat 与 habitat 单复数混淆；reserve 与 preserve 形近词混用；把 habitat 误当可数加 s 的错误,typical_errors 有车轱辘话：'habitat 与 habitat 单复数混淆'自指无效,,
YY_RJ_G1_B2_U4_007,英语,历史朝代时期词汇,72,typical_errors,ancient 与 historic 历史含义混淆；dynasty 拼写漏字母；把 century 与 century 数词搭配记错,typical_errors 有车轱辘话：'把 century 与 century 数词搭配记错'自指无效,,
YY_RJ_G1_B4_U2_005,英语,预测表达的句式,72,typical_errors,it is predicted that 缺 that；be likely to 后接 -ing 误用；predict 与 predict 形式用错状态；预测句主从时态搭配不当,typical_errors 有车轱辘话：'predict 与 predict 形式用错状态'自指无效,,
YY_RJ_G1_B4_U3_005,英语,描述自然景观的句式,72,typical_errors,be covered with 的 with 误用成 in；stretch 与 stretch 的主动形式用错；surround 的被动结构漏 be；flow 的时态与主语搭配混乱,typical_errors 有车轱辘话：'stretch 与 stretch 的主动形式用错'自指无效,,
YY_RJ_G1_B4_U5_005,英语,农业与粮食核心词汇,72,typical_errors,crop 与 crop 单复数的使用错误；yield 与 harvest 含义混淆；fertile 与 fertilizer 词类混用；irrigate 的拼写漏字母,typical_errors 有车轱辘话：'crop 与 crop 单复数的使用错误'自指无效,,
YY_RJ_G1_B5_U2_005,英语,文化交流行为动词搭配,72,typical_errors,introduce 用法混淆，搭配介词选错；share 后接动词形式错误，宾语不完整；promote 与 promote 后的宾语搭配不自然,typical_errors 有车轱辘话：'promote 与 promote 后的宾语搭配不自然'自指无效,,
YY_RJ_G1_B5_U3_005,英语,食物与食材核心词汇,72,typical_errors,ingredient 与材料 ingredient 拼写漏字母；staple food 与 main dish 概念混淆；食材名词单复数误用，可数性判断错误,typical_errors 有车轱辘话：'ingredient 与材料 ingredient 拼写漏字母'自指无效,,
YY_RJ_G1_B6_U3_007,英语,环境污染类型词汇,72,typical_errors,air pollution 与 water pollution 对象混淆；plastic waste 与 plastic 词形搭配失误；garbage 与 垃圾对应词拼写错误,typical_errors 有车轱辘话：'garbage 与 垃圾对应词拼写错误'自指无效,,
YY_RJ_G1_B6_U3_009,英语,能源与资源词汇,72,typical_errors,solar 与 solar 形容词位置搭配错；renewable 拼写漏字母；wind power 与 power 用法混淆,typical_errors 有车轱辘话：'solar 与 solar 形容词位置搭配错'自指无效,,
YY_RJ_G1_B6_U5_008,英语,诗歌朗读拉过表达,72,typical_errors,recite 与 recite 的读音拼写混淆；recital 与 recitation 形式混用；deliver a poem 搭配宾语写错,typical_errors 有车轱辘话：'recite 与 recite 的读音拼写混淆'自指无效,,
YY_WY_G1_B1_U2_007,英语,描述母语者的表达,72,typical_errors,把 native speaker 误写成复数却保留单数含义；表达外语误把 foreign language 与 second language 混用；口音 accent 与语言 accent 一词多义的选义失误,typical_errors 第3条“口音 accent 与语言 accent 一词多义的选义失误”表述混乱，自我重复无实际指向,,
YY_WY_G1_B1_U3_006,英语,家庭关系核心词汇,72,typical_errors,表达和谐误把 harmony 与 harmony 的形容词形式混用；表示亲戚误拼 relative 为 relatetive 类似错误；表达尊重 respect 时误忘记其动词与名词词性区别,typical_errors 第1条“把 harmony 与 harmony 的形容词形式混用”自我重复（harmony 的形容词应是 harmonious），表述错误,,
YY_WY_G1_B1_U6_012,英语,感官连系动词的基础用法,72,example,"[仿题]山谷看起来美丽。
解析：The valley looks beautiful，feel 感官词后接形容词。",example 解析“feel 感官词后接形容词”但例句用的是 look，解析与例句不匹配,,
YY_WY_G1_B2_U2_009,英语,描述节日气氛的表达,72,typical_errors,lively 与 lively 形容词与副词拼写混用；表达快乐氛围误用 joyful 与 glad 语境偏差；full of joy 表达中漏掉 of 造成介词缺失,typical_errors 第1条“lively 与 lively 形容词与副词拼写混用”自我重复，无实际指向,,
YY_WY_G1_B2_U6_005,英语,so 与 such 的省略用法,72,其他,so 与 such 的省略用法 | 用 so 或 such 省略重复成分以增强表达程度的用法。,name/definition 把 so/such 的程度用法与“I think so”的省略用法混为一谈，知识点界定混乱,,
YY_WY_G1_B2_U6_008,英语,浅层推测情态词汇,72,typical_errors,强确定的推测误用 may 而未用 must 表更肯定；否定推测误用 mustn't 而用 should 表许可意混淆；推测句中误接动词原形后的过去分词结构错乱,typical_errors 第2条“否定推测误用 mustn't 而用 should 表许可意混淆”语句混乱不通,,
YY_WY_G1_B3_U1_009,英语,表达感谢与理解句型,72,乱码,感谢某事误把 Thank for 后误接句子而不加动名词；appreciate 表达感激后误接 that 从句与英文结构偏离；体谅表达 I understand 后误接 you 造成成分多余,typical_errors 第1条“感谢某事误把 Thank for 后误接句子而不加动名词”语句不通,,
YY_WY_G1_B6_U3_009,英语,定语从句中先行词的识别,72,example,"[仿题]The story ___ told us was true.
解析：关系代词作宾语可省略，填 he/that。",example “The story ___ told us was true”解析“填 he/that”错误：he 是定语从句主语，并非省略的关系代词，解析混乱,,
SW_G1_B1_JBJG_010,生物,细胞器之间的分工协作,72,typical_errors,只背单个细胞器功能，不会在生理过程中综合调用；漏答溶酶体分解衰老损伤细胞器这一功能；误以为光合作用只需要叶绿体，忽略还需其他细胞器配合,typical_errors 空泛：'不会在生理过程中综合调用'未指向具体错误动作,,
SX_B_G1_B3_SJH_001,数学,任意角与象限角,72,typical_errors,把超过360°的大角直接当成0°到360°之外的特殊角，忘记化归处理；误认为终边落在坐标轴上的角属于某个象限；正负角搞混方向，把逆时针旋转记成顺时针；比较角的大小时只看绝对值，忽略负角在数轴上更靠左本质更大,typical_errors 有逻辑错误：负角在数轴上更靠左本质更大 方向说反，应为 更小,,
WL_G1_B6_FZDL_001,物理,物质由大量分子组成,72,example,[仿题]下列现象能说明分子数量巨大的是？A.一天气变冷 B.一小勺水含约一千万亿亿个水分子。解析：水分子数量极其巨大，故选B。,"example 题干表述不清（选项A""一天气变冷""）",,
YY_WY_G1_B1_U3_008,英语,表示代际关系的表达,74,乱码,the elderly 表老人泛指时误加复数 s；表达晚辈时误把 teenager 与 kid 忽义等同；尊重长辈表达时漏写 respect 后的宾语,typical_errors 第2条“把 teenager 与 kid 忽义等同”出现生造词“忽义”，学生读不懂,,
YY_WY_G1_B1_U6_006,英语,过去分词的规则与不规则,74,typical_errors,不规则动词 see 误按其过去式 seen 重复加 ed；规则过去分词直接套用不规则形式导致可错行；现在完成时漏写 have 单独保留过去分词短语,typical_errors 第1条“不规则动词 see 误按其过去式 seen 重复加 ed”表述混乱（seen 是过去分词，且该条逻辑不清）,,
YY_WY_G1_B2_U1_004,英语,询问饮食偏好的疑问句,74,乱码,疑问句中误保留动词第三人称单数而非原形；特殊疑问词选错 while 具体询问对象造成错位；一般疑问与特殊疑问的语序结构混淆使用,typical_errors 第2条“特殊疑问词选错 while 具体询问对象造成错位”混入英文“while”，表述不通,,
YY_WY_G1_B2_U3_007,英语,描述运动动作的动词,74,typical_errors,score 进球时误与 goal 搭配少一宾语造成残缺；训练 train 后误接原形而应区分配 as 结构；practise 后误接动词原形而应接动名词,typical_errors 第2条“训练 train 后误接原形而应区分配 as 结构”表述混乱，“区分配 as”不通,,
YY_WY_G1_B2_U3_010,英语,表示目的与原因的表达,74,乱码,表目的误用使 for 介词而好用 to 不定式更贴切；to 不定式表目的时写错动词原形形式；目的与结果表达混用让句意方向不清晰,typical_errors 第1条“表目的误用使 for 介词而好用 to 不定式更贴切”语句不通顺,,
YY_WY_G1_B2_U5_006,英语,旅行路行主题词汇,74,typical_errors,目的地 destination 误拼成 destiantion 字母错位；游客 tourist 误把 tour 与旅游 tour 混淆词性；行李 luggage 不可数时误加复数 s 造成错误,typical_errors 第2条“游客 tourist 误把 tour 与旅游 tour 混淆词性”自我重复且表述不清,,
YY_WY_G1_B2_U6_011,英语,表达环保倡议的句型,74,typical_errors,Let's 后误接动词过去式而应用动词原形；the high time to 结构中漏掉 to 不定式残缺；倡议句式之间劝导语气运用不相协调,typical_errors 第2条“the high time to 结构中漏掉 to”表述错乱（应为 it's high time），且该结构与 to 不定式无关,,
YY_WY_G1_B3_U1_005,英语,if 从句省略的倒装虚拟,74,typical_errors,把 were 提前倒装后遗漏后面的主语成份；误把 does 或 did 倒装而违反虚拟倒装规则；if 省略又同时保留 were 造成双重冗余,typical_errors 第2条“把 does 或 did 倒装而违反虚拟倒装规则”与其他条重复混乱，表述不清晰,,
YY_WY_G1_B3_U5_001,英语,过去分词作时间状语,74,乱码,把过去分词主动义的词误用，Time was等结构混乱；作时间状语时忘了省略状语从句主语与be；把过去分词短语与其他非谓语形式混用分不清,typical_errors 第1条“把过去分词主动义的词误用，Time was等结构混乱”语句不通,,
YY_WY_G1_B7_U5_011,英语,未知神秘的表达,74,typical_errors,curiosity 与 curiosity 拼写混淆；mysterious 与 mystery 词性混用；explore the unknown 短语搭配漏词；营造悬念时词汇使用不当,typical_errors 第1条“curiosity 与 curiosity 拼写混淆”自我重复，无实际指向,,
SW_G1_B1_ZJXB_003,生物,细胞学说的科学意义,74,typical_errors,只罗列学说内容而不答意义，审题时把意义题当成复述题；把促进进化论产生这一意义漏掉，答题不完整；误以为细胞学说揭示了动物与植物的差异性而非统一性,typical_errors 空泛：'审题时把意义题当成复述题'偏审题套话,,
WL_G1_B1_XHZL_016,物理,力的分解方法,74,example,[仿题]10N力沿竖直方向分解得一分力为多少？解析：看夹角求，正交分解按坐标方向投影。,example 题干不完整：'10N力沿竖直方向分解'缺角度条件，解析'看夹角求'空泛,,
DL_ZT_G1_B1_ZRYS_004,地理,地质作用与地貌,75,prerequisites,DL_ZT_G1_B1_ZRYS_001,prerequisites 硬凑：前置引用为大气受热过程（大气圈），与本条地质作用与地貌（岩石圈）领域完全不同,,
LS_G1_B1_XSD_001,历史,中国特色社会主义新时代,75,typical_errors,把新时代开始的标志误写成中共十九大，忽略是中共十八大；漏答社会主要矛盾发生转化这一判断依据；把主要矛盾误写成人民与落后的社会生产之间的矛盾，混淆新旧表述；把“新时代”误解为与改革开放割裂，忽略其是历史继承发展,typical_errors “把新时代开始的标志误写成中共十九大，忽略是中共十八大”有误：统编教材表述为十九大（2017年）指出“中国特色社会主义进入新时代”，宣告/标志是十九大而非十八大,,
SW_G1_B1_ZJXB_011,生物,细胞的多样性与统一性,75,typical_errors,把统一性只概括为有细胞核，忽略原核细胞并无成形细胞核；只答概念不举实例，论述题因缺乏具体例证而失分；误以为所有细胞都有细胞壁，忽略动物细胞没有细胞壁,typical_errors 空泛：'只答概念不举实例'偏答题技巧套话,,
LS_G1_B1_KZ_012,历史,战略反攻与三大战役,76,乱码,把刘邓大军挺进大别山批下时间误记为1949年；混淆三大战役各自的发起纵队与作战方向；误认为战略反攻发生在三大战役之后；遗漏三大战役基本消灭国民党军队主力这一点；把三大战役放在渡江战役之后来记,typical_errors “挺进大别山批下时间”中“批下”为错字，应为“的时间”,,
YY_WY_G1_B1_U2_012,英语,识别语言中的词义多变,76,example,"[仿题]course 有时指课程有时表当然。
解析：course 多义，依语境选义，如 the course of study 表示课程。",example 题干“course 有时指课程有时表当然”不是完整例句而是说明文字；typical_errors 第3条表述含混,,
YY_WY_G1_B3_U5_008,英语,挑战与克服困难词汇,76,typical_errors,把determination误写成determined，词性混淆；overcome过去式写成overcomed，未熟记变化；obstacles单复数理解不当，误丢复数后缀,typical_errors 第1条“把determination误写成determined，词性混淆”表述不清（determined 并非 determination 的拼写错误）,,
YY_WY_G1_B5_U3_008,英语,数字智能技术词汇,76,typical_errors,把smartphone漏掉拼接为smartphoneer；把automate误拼成automatee漏e；把AI缩写与人工智能全称混用不清,typical_errors 第1条“把smartphone漏掉拼接为smartphoneer”表述不清,,
YY_WY_G1_B7_U5_001,英语,综合运用多种从句,76,乱码,把定语从句误当成名词性从句理解；状语从句与宾语从句的功能混淆；多从句并存时快速跳跃导致目不接,typical_errors 第3条“多从句并存时快速跳跃导致目不接”出现生造词“目不接”,,
LS_G1_B1_GM_004,历史,中共一大与共产党成立,78,keywords,1921；上海；嘉兴南湖；南湖游船；四大会,keywords 含“四大会”，语义不明且与本知识点无关，疑为“中共一大”之误,,
