id,学科,知识点,置信度,问题描述,定义原文,详解原文,修正后定义,验收结果
YY_WY_G1_B3_U6_004,英语,现在分词作原因状语,45,"example “___ about it, she called me”解析填 Worried（过去分词），但本条讲的是现在分词作原因状语，分词形式用反（example 分词形式与知识点主题矛盾）",用现在分词短语说明主句动作发生的原因，相当于because引导从句的省略。,"现在分词作原因状语常替代because或since从句，如Being late, he missed the bus。分词表主动进行，逻辑主语是主句主语。判断时先确定主语与动词是主动关系，再看是否表达原因前提。理解原因关系后，你能把冗长的从句简化为精炼的分词短语，作文增色不少。",,
YY_WY_G1_B5_U5_005,英语,there be句型的主谓一致,45,example “There ___ mangoes and an apple”中紧挨空格的最近名词是 mangoes（复数），应填 are，但解析称“最近名词是 apple 单数故选 is”，主谓一致讲错（example 就近原则判断错误，属知识性错误）,there be 后接多个并列名词时，be 动词与最近的一个名词保持一致。,there be 是一种特殊的倒装结构，真正的主语在 be 后面。当后面有几个并列名词时，be 只跟最近的那个对齐。比如 There is a pen and two books 中，最近的是单数 a pen，所以用 is。你先看 be 后面紧挨着的名词是单数还是复数，再决定谓语形式，这类题就能稳拿分。,,
SW_G1_B3_MYTJ_002,生物,免疫系统的三大功能,45,explanation 知识性错误：把免疫防御功能说成'机体第一道防线'，混淆'免疫系统三大功能'与'三道防线'两个概念体系（免疫防御是三大功能之一而非第一道防线，概念混淆）,免疫系统具有免疫防御、免疫监视和免疫自稳三大功能。,免疫系统的三大功能你记清楚：免疫防御，抵抗病原体的入侵，是机体第一道防线；免疫监视，识别和清除体内突变的细胞，防止肿瘤发生；免疫自稳，清除衰老、损伤或异常的细胞，维持内环境稳定。答题常考三大功能的区分，如清除衰老细胞属于免疫自稳，监控癌细胞属于免疫监视。,,
WL_G1_B3_DNNL_006,物理,非纯电阻电路与电动机,45,example 计算错误：P出=UI-I²R=48×2-4×4=80W，解析误写为64W（电动机输出功率计算错误，应为80W而非64W）,非纯电阻电路电功大于电热，部分电能转化为机械能。,电动机、充电器等既有电阻又要输出机械能或储存化学能的器件构成非纯电阻电路，此时欧姆定律不再适用。你要记牢这个核心关系：电功W=UIt大于电热Q=I2Rt，差出来的那部分就是输出的机械能。计算时总功用UI算，发热只能用I2R算，绝对不能用U2/R来代发热量，因为这里的电压并不等于IR。抓住电功扣除电热等于其他能这条主线，很多电动机题就能迎刃而解。,,
WL_G1_B4_GX_008,物理,光的色散与棱镜,45,"explanation 有知识性错误（""紫光红率最高""应为""紫光频率最高""）（""红率""是明显错字，且与同句""红光频率最低""前后矛盾）",复色光经棱镜两次折射后按频率高低分散成单色光带，叫光的色散。,你观察白光通过三棱镜就能看到七色光带，这就是色散。原因是棱镜对不同频率的光折射率不同，紫光红率最高因而偏折最大，红光频率最低偏折最小。光经过棱镜的两个折射面都偏向棱镜底边方向，所以你把出射光方向与入射光方向比较，会看出不同颜色的光偏折角度各不相同。色散的本质是介质折射率随频率变化，你要用它说明为什么白光能被分解，以及哪些光偏折更明显。,,
WL_G1_B5_DCGY_003,物理,磁通量的概念,45,example 解析知识性错误（30°角应取sin30°而非sin60°）（线圈与磁场成30°角，磁通量应为BScos60°=BSsin30°，解析写成BSsin60°）,穿过某一面积的磁感线的条数叫磁通量。,磁通量Φ等于磁感应强度B与面积S在垂直于磁场方向上投影的乘积，即Φ=BScosθ，它描述的是穿过某面积的磁感线条数。你要特别注意磁通量是标量，但有正负之分，正负只表示磁感线从哪一侧穿过，并不代表方向。当面积与磁场平行时，穿过它的磁通量为零。计算磁通量时你要先确定磁场方向与面积法线方向的夹角，再代入公式运算。,,
HX_G1_B3_DN_009,化学,金属的防护,48,example 解析有知识性错误：把被保护金属（船体）写成'负极'，又与括号里的'阴极'自相矛盾，牺牲阳极保护法中被保护金属应作正极（阴极）（牺牲阳极保护法中被保护金属作正极（阴极）、锌块作负极（阳极），解析把船体写成'负极'且与'阴极'矛盾，会误导学生。）,通过覆盖保护层、牺牲阳极保护法等方法防止金属腐蚀。,金属防护的思路是阻止金属与腐蚀介质接触或改变金属电极状态。你要掌握常用方法：覆盖保护层（油漆、镀层）；牺牲阳极保护法（连接更活泼的金属作负极，如船体连锌块）；外加电流阴极保护法（将被保护金属作阴极）；改变金属组成（制成合金）。答题常考牺牲阳极保护法的原理和应用。,,
SX_B_G1_B6_GLTJ_005,数学,离散型随机变量的均值,48,explanation 知识性错误：把期望符号 E(X) 误写成 E除以X，学生会被误导（期望记号 E(X) 被解释成 E除以X，属知识性错误）,均值等于各取值乘对应概率后的累加，表示随机变量的平均取值水平。,均值（期望）衡量随机变量'平均会取到什么值'。公式是每个取值乘其概率再求和，符号记作E除以X。你把分布列表格里的取值与概率两列对应相乘再累加即可。常见套路：某些题会给出变换如新的随机变量等于aX加b，此时均值也做同样线性变换E(aX加b)等于aE(X)加b。算均值前先确保分布列完整，否则求和会偏。,,
WL_G1_B6_RX_020,物理,卡诺循环与卡诺效率,48,"definition 有知识性错误（""理想逆循环""应为""理想可逆循环""）（卡诺循环是正循环/可逆循环，写成""逆循环""概念错误）",卡诺循环是只与两个恒温热源换热的理想逆循环。,卡诺循环由两个等温过程与两个绝热过程交替组成，只与高温和低温两个恒温热源交换热量，是理想的理想热机循环。卡诺效率η＝1－T2／T1，仅由两个热源的温度决定，并且是所有工作在同温度热源间的热机中效率最高的。你需要理解，温度差越大卡诺效率越大，但即使理想循环，只要T2高于绝对零度，效率仍小于1。这一结果从理论上说明效率百分之百不可能实现。,,
YY_WY_G1_B3_U2_003,英语,过去虚拟的委婉假设反思,50,"example “If we had acted earlier, damage would be smaller”主句时态错误：与过去事实相反的虚拟，主句应为 would have been smaller（example 主句虚拟时态讲错，属知识性错误）",用与过去相反的虚拟条件句表达对过去选择的反思与假设。,"你想反思过去可改变的瞬间时用与过去相反的虚拟句，如 If we had acted earlier, the damage would have been smaller 表示若早点行动损失会小些。它常用来表达遗憾、假设与吸取教训。写公益行动后的反思作文时用这类虚拟句，谦逊表达你从经历中的收获。",,
SW_G1_B3_NHJW_004,生物,内环境理化性质,50,explanation 知识性错误：血浆pH缓冲对写成'碳酸氢钠、碳酸钠'，应为'碳酸、碳酸氢钠'（缓冲对成分写错，且与自身example的'碳酸氢钠与碳酸'矛盾）,内环境理化性质包括渗透压、酸碱度和温度，正常血浆pH为7.35至7.45。,内环境的理化性质你记三个指标：渗透压，大小主要与无机盐和蛋白质含量有关，血浆渗透压主要来自钠离子和氯离子；酸碱度，血浆pH维持在7.35至7.45，依靠缓冲物质如碳酸氢钠、碳酸钠来调节；温度，人体正常体温维持在37摄氏度左右。答题常考渗透压的主要来源以及pH维持稳定的机制。,,
WL_G1_B5_APLL_013,物理,圆周运动轨迹半径,50,"typical_errors 公式错误（r=qvB/m 应为 mv/qB）；typical_errors 语句不通（""洛化变形""）（错误项本身把半径公式写反且含乱码）",带电粒子垂直射入匀强磁场做匀速圆周，半径r等于mv比qB。,当带电粒子以速度v垂直射入匀强磁场，洛伦兹力提供向心力，粒子做匀速圆周运动。由向心力公式qvB等于m乘以v方比r，化简你就得到轨道半径r等于mv比qB。这个公式清楚显示半径正比于动量mv，反比于电荷量与磁感应强度的乘积qB。你据此可知速度越大的粒子半径越大，比荷越大半径越小。记住半径公式是求解粒子在各磁场中偏转轨迹长度乃至几何边界的基本工具，几乎每一道圆周题都要用到。,,
YY_RJ_G1_B1_U4_006,英语,非限制性定语从句特征,55,explanation 有知识性错误：'指人也通常不用 who 用 whom'——非限制性定语从句指人作主语应用 who；示例'小明迟到了…用 which'表述也混乱（explanation 关于非限制性从句关系词选用讲错，属语法知识性错误。）,掌握用逗号隔开、补充说明先行词且不能用 that 的非限制性从句。,非限制性定语从句用逗号与主句隔开，只做补充说明，去掉也不影响句意，比如 The typhoon，which hit the coast，caused great damage。它的关键特征是关系代词不能用 that，指人也通常不用 who 用 whom。你要根据是否加逗号判断句式，同时记住 which 在这里可指代整个句子，比如小明迟到了，这让大家很担心用 which。,,
YY_WY_G1_B2_U2_007,英语,不可数名词节日的量表达,55,explanation 举例“some decorations 表一些装饰”与知识点矛盾：decorations 是可数名词复数，并非不可数名词，示例与定义冲突（explanation 示例与“不可数名词”主题矛盾）,不可数名词在节日语境下依量词表达数量与程度的规则。,你在节日话题常遇到不可数名词，如 news、information、rubbish 等，它们不能加 s，也不能用 a 直接限定，需要用量词或其他手段表达数量。比如 some decorations 表一些装饰。节日语境注意不可数名词与 a lot of、much 搭配。写庆祝活动清单时按名词可数性选择量词。,,
YY_WY_G1_B4_U3_006,英语,独立主格逻辑主谓关系,55,"example “Her arms ____, she waved”解析称“手臂举起主动填 raised”，但 raised 是过去分词表被动（手臂被举起），主被动判断错误（example 解析主被动判断错误）",判断独立主格逻辑主语与其成分间的主动或被动关系的原则。,"独立主格中，逻辑主语与第二个部分之间也存在主被动关系。若逻辑主语主动发出动作，则分词用ing；若是承受者，则用过去分词，比如His leg broken, he couldn't run。你先把逻辑主语找出来，再看它与分词的关系，从而确定采用ing还是过去分词。",,
SX_A_G1_B2_LTJH_004,数学,用斜二测画法画直观图,55,explanation 关于斜二测哪一轴取半前后矛盾（先说y轴取半，又说竖直方向不变）；typical_errors 有知识性错误：实际只有横轴方向取半，应为纵轴(y轴)取半（斜二测取半的轴被前后讲混，会误导学生画图与求面积）,用夹角为45°或135°的斜坐标系，保持横向不变、纵向取半来画立体图形的直观图。,你画斜二测直观图时，先把原图形放在直角坐标系里，再把它转化成夹角为45°或135°的斜坐标系。原来的x轴方向长度保持不变，y轴方向长度取原来的一半，竖直方向保持不变。还原图像时方向别搞反，求原图形的长度或面积时要记得把半长还原成原长，涉及面积倍数时更要谨慎，尺度和方向一错整道题就全错了。,,
WL_G1_B5_DCGY_002,物理,产生感应电流的条件,55,"example 题干不完整（解析引用""选D""但题干无选项）（题干未给出选项，解析却出现""故选D""，题干与解析不对应）",回路闭合且穿过回路的磁通量发生变化。,产生感应电流需要同时满足两个条件：一是回路必须闭合，二是穿过回路的磁通量发生变化，二者缺一不可。你需要对“磁通量变化”做全面理解，它既可以来自磁感应强度B的变化，也可以来自有效面积S的变化，还可以来自回路在磁场中转动引起的夹角变化。判断时你先审视回路是否闭合，再从B、S、夹角三个角度检查磁通量是否改变，切勿把“有磁感线穿过”误当成了条件具备。,,
YY_RJ_G1_B3_U1_004,英语,-ing 与 -ed 定语选择,60,explanation 有知识性错误：'man-made 表程度深常加 very'——man-made 意为人造的，与程度无关（explanation 把 man-made 解释成表程度，属词义知识性错误。）,根据主被动关系，选择 -ing 或 -ed 形式作名词定语。,你判断用 -ing 还是 -ed 时，先找被修饰名词与动词的主被动。名词主动发出动作用 -ing，如 the exciting game；名词被该动作作用用 -ed，如 the excited spectators。man-made 表程度深常加 very。记住口诀：主动进行找 -ing，被动完成找 -ed，名词被动关系越明显越用 -ed。,,
YY_WY_G1_B3_U2_008,英语,过去完成时的公益回顾,60,example “we carried out it”语序错误，应为 carried it out（代词应放短语中间）（example 动词短语代词位置错误）,用过去完成时回顾公益行动中先发生的前序经历。,"你回顾公益活动时谈到某动作发生在过去另一动作之前，可用 had 加过去分词，比如 We had prepared, then carried out the plan 中 prepared 在前的已完成。它与虚拟句 had done 结构类似但表示陈述而非假设。写志愿回顾按时序用过去完成时交代前情，让叙述有先后层次。",,
YY_WY_G1_B3_U4_003,英语,there be完全倒装句型,60,explanation 先说“there be句是最典型的部分倒装”，又说“它是完全倒装的一种”，前后矛盾；there be 实为完全倒装（explanation 概念自相矛盾）,以there加be引导、谓语动词置于主语之前的完全倒装结构。,there be句是最典型的部分倒装，其实它是完全倒装的一种，谓语be置于主语之前，如there is a painting。there是引导词不译，真正主语是后面的名词。主语复数时be也要用复数，如there are paintings。你注意主谓一致和there的位置，这类题基本不会出错。,,
YY_WY_G1_B6_U1_011,英语,as if从句的虚拟语气,60,example “She spoke as if she ___ the truth”解析“假想不知情，用过去完成式填 had known”，但 as if + had known 表示她像知道真相，与“不知情”语义相反（example 解析语义讲反）,as if 后从句可用虚拟语气表不真实或假想。,as if 表示仿佛、就像，后面的从句常用虚拟语气来强调并非真实。与现在事实相反用过去式，比如 He talks as if he knew everything。有时也用陈述语气表较真实的比较。你判断时看内容是否真实，若是明显假想就选虚拟语气，语气与时态的选择直接反映作者的态度。,,
YY_WY_G1_B6_U6_006,英语,并列句中的省略规则,60,example “She sings well and I (do) too”解析“后半省略 plays 之类的重复部分”错误，应省略的是 sing/do，而非 plays（example 解析内容讲错）,并列句中相同的成分可省略避免重复。,并列句中如果两部分有重复的成分，后一部分可以省略。比如 He likes tea and I coffee，后半句省略了 likes。你写或分析并列句时，看到后半部分缺动词或缺宾语，往往是被省略了后半部分，实际与前文相同。理解省略的规则，阅读和翻译都更顺畅。,,
HX_G1_B5_DFC_005,化学,氨基酸的结构,60,definition 有知识性错误：'分子中碳原子数相同者互为同分异构体'表述不准确，同分异构体要求分子式相同而非仅碳原子数相同，且与氨基酸定义无关（定义前半句（含氨基和羧基）正确，但后半句关于同分异构体的表述错误、逻辑含糊，属硬加内容。）,氨基酸含氨基和羧基，分子中碳原子数相同者互为同分异构体。,氨基酸是组成蛋白质的基本单位。你要掌握：氨基酸分子中同时含氨基（-NH₂）和羧基（-COOH）；氨基酸既能与酸反应又能与碱反应，具有两性；天然蛋白质水解得到的氨基酸主要是α-氨基酸。答题常考氨基酸的官能团、两性，以及氨基酸通过脱水缩合形成多肽和蛋白质。,,
WL_G1_B4_JXB_001,物理,机械波的形成与传播,60,"typical_errors 语句不通顺（""随何时运作波路径前进""）（该错误项表述破碎，学生读不懂）",机械波是机械振动在介质中传播形成的。,机械振动在介质中传播就形成机械波，它由波源带动介质中相邻部分依次振动并传播开去。你要理解，波源附近质点先振动，再带动距它较近的质点，如此依次带动，形成向远处传播的波。波传播的是振动这种运动形式和振动的能量，介质本身并未整体迁移。判断是否形成机械波，关键看是否有波源以及是否有介质传递振动，二者缺一不可。,,
WL_G1_B5_APLL_002,物理,安培力的方向判断,60,"typical_errors 语句不通（""平行动画""疑为""平行""）（错误项出现无意义词汇）",安培力方向用左手定则判断，垂直于B与I决定的平面。,你判断安培力方向要用左手定则：伸开左手，让磁感线垂直穿入手心，四指指向电流方向，则大拇指所指方向就是安培力的方向。安培力方向总是与磁感应强度和电流两者所在的平面垂直，既垂直于B，又垂直于I。实际计算时你先弄清B的方向和I的方向，再按左手定则比划，特别注意安培力与B、I都垂直且作用沿导线方向之外。左手定则用对了，方向题你基本不会失分。,,
WL_G1_B5_APLL_017,物理,圆形边界磁场的运动,60,"typical_errors 语句不通（""放射性边界""应为""圆形边界""）（错误项出现与语境无关的词汇）",粒子射入圆形匀强磁场，轨迹圆弧与磁场边界圆保持相切关系。,当磁场边界是圆形区域，带电粒子在其中沿一段圆弧运动，这段轨迹圆的半径仍由mv比qB确定，但与磁场边界大圆存在相切或相交关系。你通常先把两个圆心和半径画出，利用两圆之间距离与半径的几何关系确定圆心角，再推出粒子在磁场中经过的路程、偏转角度和出射方向。分析时要注意粒子可能从射入点相对或相邻位置射出，务必结合半径大小判断圆弧能占到磁场的什么位置，几何作图是解题的关键。,,
YW_G1_B1_XWTX_008,语文,《插秧歌》比喻手法的赏析,62,definition 有知识性错误：“把插秧劳作比作织网、甲胄等”中的“织网”并非《插秧歌》内容，该诗比喻是“笠是兜鍪蓑是甲”（定义误称《插秧歌》把劳作比作“织网”，诗中并无此喻，属内容错误。）,用比喻把插秧劳作比作织网、甲胄等，形象写出田夫劳作的紧张与艰辛。,杨万里《插秧歌》把田夫比作“兜鍪”、蓑衣比作“甲”，写出农民如战士般争分夺秒劳作。赏析比喻你要先指出本体喻体，再分析相似点与画面感，最后落到情思。“低头折腰只不答”更写出连答话都顾不上的紧张忙乱，透出对农民的关切。,,
YY_WY_G1_B1_U1_006,英语,开学新起点主题词汇,62,typical_errors 出现自相矛盾的表述“把 campus 误拼成 campus”，等于没说，且“把名词 challenge 当成动词变形来用”指向不清（typical_errors 存在无意义/自指错误表述，不能直接给学生看）,描述新学校新学期环境与感受的核心英语词汇。,你开学就会遇到这些高频词：campus 校园、classmate 同学、timetable 课表、challenge 挑战、confident 自信的。写作介绍新班级时可串联使用，比如可以说你的新学期学习充满挑战。记忆时把表示环境的名词和表示感受的形容词分组背诵，场景会更清晰。遇到此类话题直接调用，既扣题又加分。,,
WL_G1_B4_GX_003,物理,折射率的决定因素,62,"typical_errors 概念混乱（""折射率正负方向""不存在）（折射率是标量没有方向，该错误项本身概念不清，学生会被误导）",折射率由介质本身及光频率共同决定，与入射角折射角大小无关。,你要明确折射率是介质的一种光学属性，它只由介质的种类以及光的频率决定，并不会随着入射角或折射角的大小而改变。同一介质对不同频率的光折射率不同，频率越高折射率越大，所以白光经过介质会发生色散。不同介质即使入射角相同，折射角也往往不同，这正是源于它们折射率的不同。当题目说改变入射角让你判断折射率变化时，你要清楚折射率是固定的量，改变的只是入射角与折射角的数值关系。,,
WL_G1_B4_JXB_018,物理,波的传播的多解分析,62,"example 题干有错别字（""数列波""应为""一列波""）；example 解析空泛（题干错字且解析没有给出具体求多解的过程）",波具有周期性，传播时间与距离的解答可能有多组。,波的传播题目往往具有多解性，因为波是周期性传播的。已知某段时间波传播的距离时，它可能等于若干个整波长加上一段距离；已知某时间间隔时，也可能包含若干个周期。你要注意，若题目未限定质点振动的最少时间或波的传播方向，结果往往有多个可能值。解题时应假设传播方向并列出周期的可能倍数，再逐一求得多组解。,,
YY_RJ_G1_B1_U3_012,英语,比较与对比表达,65,explanation 有知识性错误：'compare 的搭配 for 与 with 不混用'——compare 无 for 搭配，应为 compare with/to（explanation 把 compare 误配 for，属介词搭配知识性错误。）,掌握用于比较与并列关系的常见表达。,比较运动或生活方式时，你会用 compare A with B 对比两者，用 as well as 表示并列。比如 compared with indoor sports，running outdoors is more enjoyable。你要注意 compare 的搭配 for 与 with 不混用，as well as 连接并列时不要与 and 重复使用，写对配比才显得地道。,,
YY_RJ_G1_B1_WU_005,英语,一般现在时与现在进行时的区分,65,explanation 有乱码/知识性错误：'状态词 one、these days 提示正在进行'中 one 应为 now；'遇到 always 修主动词且表抱怨时可现进行'表述不通（explanation 里时间信号词写错（one→now）且句子读不通，学生难懂。）,用一般现在时表习惯、用现在进行时表此刻正在发生的动作的选用规则。,你抓两个信号：一个是状态词 one、these days 提示正在进行；一个时间是 always、every day 提示习惯。现在进行时结构是 be+doing，强调动作还没结束，比如 I am reading now；一般现在时强调习惯或事实，比如 I read every night。遇到 always 修主动词且表抱怨时可现进行，但基础判断先看是否此刻正在发生。,,
WL_G1_B3_DCGS_015,物理,发电机原理,65,explanation 知识性错误：线圈转动'产生交变电场'应为产生交变电动势/交变电流，与同条例子矛盾（解释把发电机产生的量误写成交变电场）,发电机利用电磁感应把机械能转化为电能。,发电机是利用电磁感应把机械能转化为电能的装置。线圈在磁场中转动时，穿过线圈的磁通量周期性变化，因而线圈中产生周期性变化的交变电场。你要理解，原动机提供机械能，通过磁通量变化转化为感应电动势，最终输出电能。理解发电机的这一能量转化过程，对你把握整个电磁感应实际应用很有帮助。,,
WL_G1_B3_JDCD_011,物理,电场及其基本性质,65,example 解析知识性错误：试探电荷受力为零处场强应为零（E=F/q），解析'不一定无电场'结论错误（例子解析对'受力为零处是否有电场'给出错误结论）,电荷周围存在的对放入电荷有力的作用的特殊物质叫电场。,电场是电荷周围客观存在的特殊物质，它对放入其中的电荷施加电场力。电场虽然看不见摸不着，但它具有物质属性并能传递能量与信息。电场最基本的性质是对放入其中的电荷有力的作用，这也可作为检验电场是否存在的依据。你要注意，离开电荷就不存在电场，电场不能单独存在。描述电场强弱的物理量是电场强度，直观描述电场的又一手段则是电场线。,,
WL_G1_B4_JXZD_006,物理,简谐运动的速度加速度,65,"definition 表述不清（""远离平衡位置减速加速，靠近则反向""）（定义句逻辑混乱，无法一句话说清速度与加速度变化）",简谐运动中速度和加速度随位移变化，远离平衡位置减速加速，靠近则反向。,你对简谐运动中速度和加速度的变化规律要能准确判断。当物体远离平衡位置时，位移增大、速度减小、加速度增大，加速度方向指向平衡位置；当物体靠近平衡位置时，位移减小、速度增大、加速度减小。加速度始终与位移方向相反且成正比，这一点由回复力决定。做题时你只需看物体是远离还是靠近平衡位置，就能确定速度的增减和加速度的方向，不必逐个时刻硬记，利用对称性可快速判断任意位置的状态。,,
WL_G1_B5_APLL_004,物理,磁感应强度的定义,65,"typical_errors 表述混乱（""定义式与安培力方向混用到矢量相互替代""）（句子无逻辑，无法指向具体错误动作）",磁感应强度B等于垂直磁场的电流所受安培力与IL之比。,你认识磁感应强度要从它的定义式入手，磁感应强度B等于F比IL，其中F是通电导线垂直于磁场方向时受到的安培力，I是电流大小，L是导线有效长度。这个比值反映磁场本身的强弱属性，它由磁场和位置决定，与放入的电流大小、导线长度甚至有无导线都无关。理解这一点即可明白，增大电流或改变导线并不会改变该处的磁感强度大小。B的单位是特斯拉，符号T，理解定义后你分析磁场分布就有抓手。,,
